#ombh2	omch2	theta_mc	tau	As	ns	sigma8	hlittle
2.71378524669e-08	-1.61071205423e-07	2.27212151819e-10	1.73642680941e-06	7.0045567243e-15	4.51697374322e-07	8.14952642162e-07	8.64379680409e-07
-1.61071205423e-07	2.31371585065e-06	-2.22179586404e-09	-1.94406844295e-05	-7.36453587089e-14	-6.24443214044e-06	-7.42767776252e-06	-1.01852198398e-05
2.27212151819e-10	-2.22179586404e-09	1.05101527729e-11	2.39355329078e-08	9.557197605e-17	7.41933324967e-09	1.27595497536e-08	1.31791391336e-08
1.73642680941e-06	-1.94406844295e-05	2.39355329078e-08	0.000570387751555	2.39457880839e-12	6.96160431699e-05	0.000400422387894	9.04992700469e-05
7.0045567243e-15	-7.36453587089e-14	9.557197605e-17	2.39457880839e-12	1.02423448119e-20	2.69974239606e-13	1.73622248287e-12	3.48042889959e-13
4.51697374322e-07	-6.24443214044e-06	7.41933324967e-09	6.96160431699e-05	2.69974239606e-13	2.65908168778e-05	3.65738819672e-05	2.80976550358e-05
8.14952642162e-07	-7.42767776252e-06	1.27595497536e-08	0.000400422387894	1.73622248287e-12	3.65738819672e-05	0.000310134560481	3.70256138693e-05
8.64379680409e-07	-1.01852198398e-05	1.31791391336e-08	9.04992700469e-05	3.48042889959e-13	2.80976550358e-05	3.70256138693e-05	4.72560593752e-05
